
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-3.87,11.5132,µm^3,Cumulative Volume,Image 1,1,,
-3.354,49.5145,µm^3,Cumulative Volume,Image 1,1,,
-2.838,144.367,µm^3,Cumulative Volume,Image 1,1,,
-2.322,314.413,µm^3,Cumulative Volume,Image 1,1,,
-1.806,545.092,µm^3,Cumulative Volume,Image 1,1,,
-1.29,837.024,µm^3,Cumulative Volume,Image 1,1,,
-0.774,1180.33,µm^3,Cumulative Volume,Image 1,1,,
-0.258,1578.29,µm^3,Cumulative Volume,Image 1,1,,
0.258,2033.74,µm^3,Cumulative Volume,Image 1,1,,
0.774,2498.36,µm^3,Cumulative Volume,Image 1,1,,
1.29,2989.57,µm^3,Cumulative Volume,Image 1,1,,
1.806,3508.49,µm^3,Cumulative Volume,Image 1,1,,
2.322,4072.96,µm^3,Cumulative Volume,Image 1,1,,
2.838,4667.44,µm^3,Cumulative Volume,Image 1,1,,
3.354,5291.07,µm^3,Cumulative Volume,Image 1,1,,
3.87,5949.25,µm^3,Cumulative Volume,Image 1,1,,
4.386,6641.38,µm^3,Cumulative Volume,Image 1,1,,
4.902,7362.74,µm^3,Cumulative Volume,Image 1,1,,
5.418,8092.76,µm^3,Cumulative Volume,Image 1,1,,
5.934,8818.77,µm^3,Cumulative Volume,Image 1,1,,
6.45,9526.33,µm^3,Cumulative Volume,Image 1,1,,
6.966,10221,µm^3,Cumulative Volume,Image 1,1,,
7.482,10915.3,µm^3,Cumulative Volume,Image 1,1,,
7.998,11620.4,µm^3,Cumulative Volume,Image 1,1,,
8.514,12340.4,µm^3,Cumulative Volume,Image 1,1,,
9.03,13077.2,µm^3,Cumulative Volume,Image 1,1,,
9.546,13831.3,µm^3,Cumulative Volume,Image 1,1,,
10.062,14600.5,µm^3,Cumulative Volume,Image 1,1,,
10.578,15390.1,µm^3,Cumulative Volume,Image 1,1,,
11.094,16187.2,µm^3,Cumulative Volume,Image 1,1,,
11.61,16988.5,µm^3,Cumulative Volume,Image 1,1,,
12.126,17786.9,µm^3,Cumulative Volume,Image 1,1,,
12.642,18572.1,µm^3,Cumulative Volume,Image 1,1,,
13.158,19329.6,µm^3,Cumulative Volume,Image 1,1,,
13.674,20047,µm^3,Cumulative Volume,Image 1,1,,
14.19,20730.6,µm^3,Cumulative Volume,Image 1,1,,
14.706,21382.5,µm^3,Cumulative Volume,Image 1,1,,
15.222,22011.6,µm^3,Cumulative Volume,Image 1,1,,
15.738,22621.7,µm^3,Cumulative Volume,Image 1,1,,
16.254,23219.9,µm^3,Cumulative Volume,Image 1,1,,
16.77,23809.2,µm^3,Cumulative Volume,Image 1,1,,
17.286,24387.2,µm^3,Cumulative Volume,Image 1,1,,
17.802,24958.5,µm^3,Cumulative Volume,Image 1,1,,
18.318,25522.3,µm^3,Cumulative Volume,Image 1,1,,
18.834,26083.1,µm^3,Cumulative Volume,Image 1,1,,
19.35,26643.5,µm^3,Cumulative Volume,Image 1,1,,
19.866,27206.2,µm^3,Cumulative Volume,Image 1,1,,
20.382,27770.7,µm^3,Cumulative Volume,Image 1,1,,
20.898,28337.7,µm^3,Cumulative Volume,Image 1,1,,
21.414,28906.4,µm^3,Cumulative Volume,Image 1,1,,
21.93,29458.7,µm^3,Cumulative Volume,Image 1,1,,
22.446,29977.4,µm^3,Cumulative Volume,Image 1,1,,
22.962,30460.4,µm^3,Cumulative Volume,Image 1,1,,
23.478,30918.4,µm^3,Cumulative Volume,Image 1,1,,
23.994,31360,µm^3,Cumulative Volume,Image 1,1,,
24.51,31787.6,µm^3,Cumulative Volume,Image 1,1,,
25.026,32202,µm^3,Cumulative Volume,Image 1,1,,
25.542,32603,µm^3,Cumulative Volume,Image 1,1,,
26.058,32991.9,µm^3,Cumulative Volume,Image 1,1,,
26.574,33370.3,µm^3,Cumulative Volume,Image 1,1,,
27.09,33738.6,µm^3,Cumulative Volume,Image 1,1,,
27.606,34097.1,µm^3,Cumulative Volume,Image 1,1,,
28.122,34446.9,µm^3,Cumulative Volume,Image 1,1,,
28.638,34788.3,µm^3,Cumulative Volume,Image 1,1,,
29.154,35118.3,µm^3,Cumulative Volume,Image 1,1,,
29.67,35429.9,µm^3,Cumulative Volume,Image 1,1,,
30.186,35711.8,µm^3,Cumulative Volume,Image 1,1,,
30.702,35964.1,µm^3,Cumulative Volume,Image 1,1,,
31.218,36192.4,µm^3,Cumulative Volume,Image 1,1,,
31.734,36399.6,µm^3,Cumulative Volume,Image 1,1,,
32.25,36589.7,µm^3,Cumulative Volume,Image 1,1,,
32.766,36763.9,µm^3,Cumulative Volume,Image 1,1,,
33.282,36926.5,µm^3,Cumulative Volume,Image 1,1,,
33.798,37075.9,µm^3,Cumulative Volume,Image 1,1,,
34.314,37214.9,µm^3,Cumulative Volume,Image 1,1,,
34.83,37342.8,µm^3,Cumulative Volume,Image 1,1,,
35.346,37461.1,µm^3,Cumulative Volume,Image 1,1,,
35.862,37568.3,µm^3,Cumulative Volume,Image 1,1,,
36.378,37665.8,µm^3,Cumulative Volume,Image 1,1,,
36.894,37752.9,µm^3,Cumulative Volume,Image 1,1,,
