
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.258,455.451,µm^3,Cumulative Volume Outside,Image 1,1,,
0.774,920.063,µm^3,Cumulative Volume Outside,Image 1,1,,
1.29,1411.28,µm^3,Cumulative Volume Outside,Image 1,1,,
1.806,1930.2,µm^3,Cumulative Volume Outside,Image 1,1,,
2.322,2494.67,µm^3,Cumulative Volume Outside,Image 1,1,,
2.838,3089.14,µm^3,Cumulative Volume Outside,Image 1,1,,
3.354,3712.78,µm^3,Cumulative Volume Outside,Image 1,1,,
3.87,4370.95,µm^3,Cumulative Volume Outside,Image 1,1,,
4.386,5063.08,µm^3,Cumulative Volume Outside,Image 1,1,,
4.902,5784.45,µm^3,Cumulative Volume Outside,Image 1,1,,
5.418,6514.47,µm^3,Cumulative Volume Outside,Image 1,1,,
5.934,7240.48,µm^3,Cumulative Volume Outside,Image 1,1,,
6.45,7948.04,µm^3,Cumulative Volume Outside,Image 1,1,,
6.966,8642.74,µm^3,Cumulative Volume Outside,Image 1,1,,
7.482,9336.96,µm^3,Cumulative Volume Outside,Image 1,1,,
7.998,10042.1,µm^3,Cumulative Volume Outside,Image 1,1,,
8.514,10762.1,µm^3,Cumulative Volume Outside,Image 1,1,,
9.03,11498.9,µm^3,Cumulative Volume Outside,Image 1,1,,
9.546,12253,µm^3,Cumulative Volume Outside,Image 1,1,,
10.062,13022.2,µm^3,Cumulative Volume Outside,Image 1,1,,
10.578,13811.8,µm^3,Cumulative Volume Outside,Image 1,1,,
11.094,14608.9,µm^3,Cumulative Volume Outside,Image 1,1,,
11.61,15410.2,µm^3,Cumulative Volume Outside,Image 1,1,,
12.126,16208.6,µm^3,Cumulative Volume Outside,Image 1,1,,
12.642,16993.8,µm^3,Cumulative Volume Outside,Image 1,1,,
13.158,17751.3,µm^3,Cumulative Volume Outside,Image 1,1,,
13.674,18468.8,µm^3,Cumulative Volume Outside,Image 1,1,,
14.19,19152.3,µm^3,Cumulative Volume Outside,Image 1,1,,
14.706,19804.2,µm^3,Cumulative Volume Outside,Image 1,1,,
15.222,20433.3,µm^3,Cumulative Volume Outside,Image 1,1,,
15.738,21043.4,µm^3,Cumulative Volume Outside,Image 1,1,,
16.254,21641.6,µm^3,Cumulative Volume Outside,Image 1,1,,
16.77,22230.9,µm^3,Cumulative Volume Outside,Image 1,1,,
17.286,22808.9,µm^3,Cumulative Volume Outside,Image 1,1,,
17.802,23380.2,µm^3,Cumulative Volume Outside,Image 1,1,,
18.318,23944,µm^3,Cumulative Volume Outside,Image 1,1,,
18.834,24504.8,µm^3,Cumulative Volume Outside,Image 1,1,,
19.35,25065.2,µm^3,Cumulative Volume Outside,Image 1,1,,
19.866,25627.9,µm^3,Cumulative Volume Outside,Image 1,1,,
20.382,26192.4,µm^3,Cumulative Volume Outside,Image 1,1,,
20.898,26759.4,µm^3,Cumulative Volume Outside,Image 1,1,,
21.414,27328.1,µm^3,Cumulative Volume Outside,Image 1,1,,
21.93,27880.4,µm^3,Cumulative Volume Outside,Image 1,1,,
22.446,28399.1,µm^3,Cumulative Volume Outside,Image 1,1,,
22.962,28882.1,µm^3,Cumulative Volume Outside,Image 1,1,,
23.478,29340.1,µm^3,Cumulative Volume Outside,Image 1,1,,
23.994,29781.7,µm^3,Cumulative Volume Outside,Image 1,1,,
24.51,30209.3,µm^3,Cumulative Volume Outside,Image 1,1,,
25.026,30623.7,µm^3,Cumulative Volume Outside,Image 1,1,,
25.542,31024.7,µm^3,Cumulative Volume Outside,Image 1,1,,
26.058,31413.6,µm^3,Cumulative Volume Outside,Image 1,1,,
26.574,31792,µm^3,Cumulative Volume Outside,Image 1,1,,
27.09,32160.3,µm^3,Cumulative Volume Outside,Image 1,1,,
27.606,32518.9,µm^3,Cumulative Volume Outside,Image 1,1,,
28.122,32868.6,µm^3,Cumulative Volume Outside,Image 1,1,,
28.638,33210,µm^3,Cumulative Volume Outside,Image 1,1,,
29.154,33540,µm^3,Cumulative Volume Outside,Image 1,1,,
29.67,33851.6,µm^3,Cumulative Volume Outside,Image 1,1,,
30.186,34133.5,µm^3,Cumulative Volume Outside,Image 1,1,,
30.702,34385.8,µm^3,Cumulative Volume Outside,Image 1,1,,
31.218,34614.1,µm^3,Cumulative Volume Outside,Image 1,1,,
31.734,34821.3,µm^3,Cumulative Volume Outside,Image 1,1,,
32.25,35011.4,µm^3,Cumulative Volume Outside,Image 1,1,,
32.766,35185.6,µm^3,Cumulative Volume Outside,Image 1,1,,
33.282,35348.2,µm^3,Cumulative Volume Outside,Image 1,1,,
33.798,35497.6,µm^3,Cumulative Volume Outside,Image 1,1,,
34.314,35636.6,µm^3,Cumulative Volume Outside,Image 1,1,,
34.83,35764.5,µm^3,Cumulative Volume Outside,Image 1,1,,
35.346,35882.8,µm^3,Cumulative Volume Outside,Image 1,1,,
35.862,35990,µm^3,Cumulative Volume Outside,Image 1,1,,
36.378,36087.5,µm^3,Cumulative Volume Outside,Image 1,1,,
36.894,36174.6,µm^3,Cumulative Volume Outside,Image 1,1,,
