
Intensity Ch=1 Img=1
 ==================== 
Distance to Surface,Intensity Mean,Image Intensity Mean,Intensity Mean minus Std,Intensity Mean plus Std,Unit,Channel,Collection,Image,Time,ID,
-3.87,19.9499,14.3159,5.77612,22.8556,,1,Intensity,Image 1,1,,
-3.354,19.9499,14.9955,5.69075,24.3003,,1,Intensity,Image 1,1,,
-2.838,19.9499,16.5017,5.69359,27.3099,,1,Intensity,Image 1,1,,
-2.322,19.9499,19.082,6.0533,32.1108,,1,Intensity,Image 1,1,,
-1.806,19.9499,22.2081,6.88528,37.531,,1,Intensity,Image 1,1,,
-1.29,19.9499,24.5415,8.03971,41.0433,,1,Intensity,Image 1,1,,
-0.774,19.9499,26.621,9.13926,44.1028,,1,Intensity,Image 1,1,,
-0.258,19.9499,29.7513,10.0494,49.4532,,1,Intensity,Image 1,1,,
0.258,19.9499,33.9369,11.4252,56.4486,,1,Intensity,Image 1,1,,
0.774,19.9499,36.2277,11.5224,60.933,,1,Intensity,Image 1,1,,
1.29,19.9499,36.7666,10.3048,63.2283,,1,Intensity,Image 1,1,,
1.806,19.9499,36.4325,8.80174,64.0633,,1,Intensity,Image 1,1,,
2.322,19.9499,35.8629,7.70435,64.0214,,1,Intensity,Image 1,1,,
2.838,19.9499,35.4566,6.46354,64.4496,,1,Intensity,Image 1,1,,
3.354,19.9499,35.1166,5.10402,65.1292,,1,Intensity,Image 1,1,,
3.87,19.9499,34.6792,3.67868,65.6798,,1,Intensity,Image 1,1,,
4.386,19.9499,34.4065,1.84576,66.9672,,1,Intensity,Image 1,1,,
4.902,19.9499,34.5001,0.0740776,68.9262,,1,Intensity,Image 1,1,,
5.418,19.9499,33.8921,-0.668442,68.4526,,1,Intensity,Image 1,1,,
5.934,19.9499,31.933,0.0843277,63.7817,,1,Intensity,Image 1,1,,
6.45,19.9499,29.2216,2.24322,56.2001,,1,Intensity,Image 1,1,,
6.966,19.9499,27.0607,3.6231,50.4982,,1,Intensity,Image 1,1,,
7.482,19.9499,25.7477,3.81222,47.6831,,1,Intensity,Image 1,1,,
7.998,19.9499,24.9002,3.59222,46.2082,,1,Intensity,Image 1,1,,
