
Intensity Outside Ch=3 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.258,47.0076,58.6136,39.8822,77.3449,,3,Intensity Outside,Image 1,1,,
0.774,47.0076,58.9117,39.7877,78.0357,,3,Intensity Outside,Image 1,1,,
1.29,47.0076,58.6025,39.8544,77.3506,,3,Intensity Outside,Image 1,1,,
1.806,47.0076,57.5242,39.9405,75.108,,3,Intensity Outside,Image 1,1,,
2.322,47.0076,56.0064,39.767,72.2457,,3,Intensity Outside,Image 1,1,,
2.838,47.0076,54.7775,39.3049,70.2501,,3,Intensity Outside,Image 1,1,,
3.354,47.0076,53.9785,38.7669,69.1901,,3,Intensity Outside,Image 1,1,,
3.87,47.0076,53.5129,38.2651,68.7608,,3,Intensity Outside,Image 1,1,,
4.386,47.0076,53.2771,37.7767,68.7776,,3,Intensity Outside,Image 1,1,,
4.902,47.0076,53.2109,37.3732,69.0486,,3,Intensity Outside,Image 1,1,,
5.418,47.0076,52.8904,37.0225,68.7583,,3,Intensity Outside,Image 1,1,,
5.934,47.0076,51.9719,36.751,67.1929,,3,Intensity Outside,Image 1,1,,
6.45,47.0076,50.7472,36.6745,64.8198,,3,Intensity Outside,Image 1,1,,
6.966,47.0076,49.7617,36.6395,62.8838,,3,Intensity Outside,Image 1,1,,
7.482,47.0076,49.034,36.4966,61.5714,,3,Intensity Outside,Image 1,1,,
7.998,47.0076,48.4822,36.2579,60.7065,,3,Intensity Outside,Image 1,1,,
8.514,47.0076,48.1258,36.0159,60.2357,,3,Intensity Outside,Image 1,1,,
9.03,47.0076,47.9259,35.8424,60.0094,,3,Intensity Outside,Image 1,1,,
9.546,47.0076,47.7254,35.721,59.7299,,3,Intensity Outside,Image 1,1,,
10.062,47.0076,47.4921,35.6675,59.3167,,3,Intensity Outside,Image 1,1,,
10.578,47.0076,47.2395,35.5511,58.928,,3,Intensity Outside,Image 1,1,,
11.094,47.0076,46.9645,35.3789,58.5502,,3,Intensity Outside,Image 1,1,,
11.61,47.0076,46.6927,35.1611,58.2243,,3,Intensity Outside,Image 1,1,,
12.126,47.0076,46.465,34.9166,58.0134,,3,Intensity Outside,Image 1,1,,
12.642,47.0076,46.2574,34.6539,57.8608,,3,Intensity Outside,Image 1,1,,
13.158,47.0076,45.9109,34.278,57.5439,,3,Intensity Outside,Image 1,1,,
13.674,47.0076,45.4642,33.8454,57.083,,3,Intensity Outside,Image 1,1,,
14.19,47.0076,45.0804,33.4669,56.6938,,3,Intensity Outside,Image 1,1,,
14.706,47.0076,44.774,33.1346,56.4135,,3,Intensity Outside,Image 1,1,,
15.222,47.0076,44.4439,32.7875,56.1003,,3,Intensity Outside,Image 1,1,,
15.738,47.0076,44.0503,32.442,55.6585,,3,Intensity Outside,Image 1,1,,
16.254,47.0076,43.6727,32.0966,55.2488,,3,Intensity Outside,Image 1,1,,
16.77,47.0076,43.3455,31.7851,54.906,,3,Intensity Outside,Image 1,1,,
17.286,47.0076,43.0858,31.5169,54.6547,,3,Intensity Outside,Image 1,1,,
17.802,47.0076,42.8519,31.2739,54.43,,3,Intensity Outside,Image 1,1,,
18.318,47.0076,42.6277,31.0255,54.2299,,3,Intensity Outside,Image 1,1,,
18.834,47.0076,42.4575,30.8198,54.0952,,3,Intensity Outside,Image 1,1,,
19.35,47.0076,42.3658,30.6742,54.0575,,3,Intensity Outside,Image 1,1,,
19.866,47.0076,42.2736,30.5196,54.0277,,3,Intensity Outside,Image 1,1,,
20.382,47.0076,42.2107,30.3852,54.0363,,3,Intensity Outside,Image 1,1,,
20.898,47.0076,42.1883,30.258,54.1186,,3,Intensity Outside,Image 1,1,,
21.414,47.0076,42.2036,30.1617,54.2456,,3,Intensity Outside,Image 1,1,,
21.93,47.0076,42.4238,30.247,54.6006,,3,Intensity Outside,Image 1,1,,
22.446,47.0076,42.9207,30.5891,55.2522,,3,Intensity Outside,Image 1,1,,
22.962,47.0076,43.4642,31.0658,55.8627,,3,Intensity Outside,Image 1,1,,
23.478,47.0076,43.8859,31.5456,56.2262,,3,Intensity Outside,Image 1,1,,
23.994,47.0076,44.071,31.8273,56.3147,,3,Intensity Outside,Image 1,1,,
24.51,47.0076,43.9401,31.9072,55.973,,3,Intensity Outside,Image 1,1,,
25.026,47.0076,43.6619,31.9114,55.4124,,3,Intensity Outside,Image 1,1,,
