
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-3.87,11.5132,µm^3,Volume,Image 1,1,,
-3.354,38.0012,µm^3,Volume,Image 1,1,,
-2.838,94.8526,µm^3,Volume,Image 1,1,,
-2.322,170.046,µm^3,Volume,Image 1,1,,
-1.806,230.679,µm^3,Volume,Image 1,1,,
-1.29,291.932,µm^3,Volume,Image 1,1,,
-0.774,343.309,µm^3,Volume,Image 1,1,,
-0.258,397.96,µm^3,Volume,Image 1,1,,
0.258,455.451,µm^3,Volume,Image 1,1,,
0.774,464.612,µm^3,Volume,Image 1,1,,
1.29,491.213,µm^3,Volume,Image 1,1,,
1.806,518.924,µm^3,Volume,Image 1,1,,
2.322,564.469,µm^3,Volume,Image 1,1,,
2.838,594.475,µm^3,Volume,Image 1,1,,
3.354,623.634,µm^3,Volume,Image 1,1,,
3.87,658.174,µm^3,Volume,Image 1,1,,
4.386,692.131,µm^3,Volume,Image 1,1,,
4.902,721.365,µm^3,Volume,Image 1,1,,
5.418,730.019,µm^3,Volume,Image 1,1,,
5.934,726.012,µm^3,Volume,Image 1,1,,
6.45,707.557,µm^3,Volume,Image 1,1,,
6.966,694.708,µm^3,Volume,Image 1,1,,
7.482,694.219,µm^3,Volume,Image 1,1,,
7.998,705.111,µm^3,Volume,Image 1,1,,
8.514,720.048,µm^3,Volume,Image 1,1,,
9.03,736.792,µm^3,Volume,Image 1,1,,
9.546,754.061,µm^3,Volume,Image 1,1,,
10.062,769.243,µm^3,Volume,Image 1,1,,
10.578,789.598,µm^3,Volume,Image 1,1,,
11.094,797.067,µm^3,Volume,Image 1,1,,
11.61,801.356,µm^3,Volume,Image 1,1,,
12.126,798.346,µm^3,Volume,Image 1,1,,
12.642,785.253,µm^3,Volume,Image 1,1,,
13.158,757.466,µm^3,Volume,Image 1,1,,
13.674,717.452,µm^3,Volume,Image 1,1,,
14.19,683.514,µm^3,Volume,Image 1,1,,
14.706,651.909,µm^3,Volume,Image 1,1,,
15.222,629.09,µm^3,Volume,Image 1,1,,
15.738,610.165,µm^3,Volume,Image 1,1,,
16.254,598.125,µm^3,Volume,Image 1,1,,
16.77,589.339,µm^3,Volume,Image 1,1,,
17.286,578.052,µm^3,Volume,Image 1,1,,
17.802,571.298,µm^3,Volume,Image 1,1,,
18.318,563.754,µm^3,Volume,Image 1,1,,
18.834,560.782,µm^3,Volume,Image 1,1,,
19.35,560.443,µm^3,Volume,Image 1,1,,
19.866,562.663,µm^3,Volume,Image 1,1,,
20.382,564.525,µm^3,Volume,Image 1,1,,
20.898,567.009,µm^3,Volume,Image 1,1,,
21.414,568.664,µm^3,Volume,Image 1,1,,
21.93,552.316,µm^3,Volume,Image 1,1,,
22.446,518.736,µm^3,Volume,Image 1,1,,
22.962,482.992,µm^3,Volume,Image 1,1,,
23.478,457.953,µm^3,Volume,Image 1,1,,
23.994,441.605,µm^3,Volume,Image 1,1,,
24.51,427.627,µm^3,Volume,Image 1,1,,
25.026,414.364,µm^3,Volume,Image 1,1,,
25.542,401.007,µm^3,Volume,Image 1,1,,
26.058,388.948,µm^3,Volume,Image 1,1,,
26.574,378.319,µm^3,Volume,Image 1,1,,
27.09,368.311,µm^3,Volume,Image 1,1,,
27.606,358.585,µm^3,Volume,Image 1,1,,
28.122,349.762,µm^3,Volume,Image 1,1,,
28.638,341.372,µm^3,Volume,Image 1,1,,
29.154,330.046,µm^3,Volume,Image 1,1,,
29.67,311.61,µm^3,Volume,Image 1,1,,
30.186,281.849,µm^3,Volume,Image 1,1,,
30.702,252.313,µm^3,Volume,Image 1,1,,
31.218,228.271,µm^3,Volume,Image 1,1,,
31.734,207.238,µm^3,Volume,Image 1,1,,
32.25,190.081,µm^3,Volume,Image 1,1,,
32.766,174.185,µm^3,Volume,Image 1,1,,
33.282,162.596,µm^3,Volume,Image 1,1,,
33.798,149.428,µm^3,Volume,Image 1,1,,
34.314,139.024,µm^3,Volume,Image 1,1,,
34.83,127.906,µm^3,Volume,Image 1,1,,
35.346,118.293,µm^3,Volume,Image 1,1,,
35.862,107.212,µm^3,Volume,Image 1,1,,
36.378,97.4299,µm^3,Volume,Image 1,1,,
36.894,87.1771,µm^3,Volume,Image 1,1,,
