% Model:              geometry_test_remi_eugenie_sans_cellule_ter.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 7 2024, 16:26
% Dimension:          3
% Nodes:              508
% Expressions:        21
% Description:        Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V) @ freq=1000                                 V (V) @ freq=1258.9                               V (V) @ freq=1584.9                               V (V) @ freq=1995.3                               V (V) @ freq=2511.9                               V (V) @ freq=3162.3                               V (V) @ freq=3981.1                               V (V) @ freq=5011.9                               V (V) @ freq=6309.6                               V (V) @ freq=7943.3                               V (V) @ freq=10000                                V (V) @ freq=12589                                V (V) @ freq=15849                                V (V) @ freq=19953                                V (V) @ freq=25119                                V (V) @ freq=31623                                V (V) @ freq=39811                                V (V) @ freq=50119                                V (V) @ freq=63096                                V (V) @ freq=79433                                V (V) @ freq=1E5
-99.99999999999999        -40                      0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-104.70304243437562       -27.48431037109397       -8.881784197001252E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.99999999999999        -27.484310371093965      -8.881784197001252E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      -40                      0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      -27.48431037109396       -8.881784197001252E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-104.99999999999999       0                        0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      9.120329224321797        -2.220446049250313E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      -2.773553610449509       8.881784197001252E-16    0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-100.3208407332051        -14.215760518867844      -2.3314683517128287E-15  0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      -14.215760518867848      -2.3314683517128287E-15  0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
