% Model:              geometry_test_remi_eugenie_sans_cellule_ter.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 8 2024, 17:03
% Dimension:          3
% Nodes:              508
% Expressions:        21
% Description:        Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V) @ freq=1000                                 V (V) @ freq=1258.9                               V (V) @ freq=1584.9                               V (V) @ freq=1995.3                               V (V) @ freq=2511.9                               V (V) @ freq=3162.3                               V (V) @ freq=3981.1                               V (V) @ freq=5011.9                               V (V) @ freq=6309.6                               V (V) @ freq=7943.3                               V (V) @ freq=10000                                V (V) @ freq=12589                                V (V) @ freq=15849                                V (V) @ freq=19953                                V (V) @ freq=25119                                V (V) @ freq=31623                                V (V) @ freq=39811                                V (V) @ freq=50119                                V (V) @ freq=63096                                V (V) @ freq=79433                                V (V) @ freq=1E5
-99.99999999999999        -40                      0                        1.2499999296664763E-14+5.563249966400785E-16i     1.2499999296664774E-14+7.003716754865E-16i        1.2499999296664785E-14+8.817156999708137E-16i     1.2499999296664944E-14+1.1100143006711399E-15i    1.2499999296664878E-14+1.3974252105698277E-15i    1.2499999296665096E-14+1.7592541086681817E-15i    1.2499999296665208E-14+2.214769703205654E-15i     1.2499999296665501E-14+2.7882298606374213E-15i    1.2499999296665911E-14+3.5101734254797728E-15i    1.2499999296666558E-14+4.419046525141066E-15i     1.2499999296667589E-14+5.563249966400826E-15i     1.2499999296669215E-14+7.0037167548650195E-15i    1.249999929667179E-14+8.817156999708181E-15i      1.2499999296675823E-14+1.1100143006711396E-14i    1.249999929668232E-14+1.3974252105698325E-14i     1.2499999296692646E-14+1.759254108668169E-14i     1.2499999296708931E-14+2.214769703205652E-14i     1.2499999296734722E-14+2.7882298606374356E-14i    1.2499999296775672E-14+3.510173425479769E-14i     1.2499999296840562E-14+4.4190465251410523E-14i    1.2499999296943346E-14+5.563249966400792E-14i
-104.70304243437562       -27.48431037109397       -8.881784197001252E-16   6.621196584696406E-15+2.946829899996368E-16i      6.621196584696414E-15+3.709839045340293E-16i      6.621196584696415E-15+4.670410647845114E-16i      6.621196584696505E-15+5.879698648086278E-16i      6.6211965846964694E-15+7.40210204176762E-16i      6.621196584696585E-15+9.318694361074804E-16i      6.6211965846966445E-15+1.1731541135899997E-15i    6.621196584696798E-15+1.4769135255493098E-15i     6.621196584697018E-15+1.859323968336544E-15i      6.621196584697365E-15+2.340750192496851E-15i      6.621196584697908E-15+2.94682989999639E-15i       6.621196584698767E-15+3.709839045340302E-15i      6.621196584700135E-15+4.670410647845136E-15i      6.62119658470227E-15+5.8796986480862786E-15i      6.621196584705703E-15+7.402102041767639E-15i      6.621196584711178E-15+9.318694361074731E-15i      6.621196584719806E-15+1.1731541135899979E-14i     6.621196584733472E-15+1.4769135255493166E-14i     6.621196584755147E-15+1.8593239683365445E-14i     6.621196584789523E-15+2.340750192496845E-14i      6.6211965848439675E-15+2.946829899996372E-14i
-99.99999999999999        -27.484310371093965      -8.881784197001252E-16   1.2499999298637846E-14+5.563249967278924E-16i     1.2499999298637855E-14+7.00371675597051E-16i      1.2499999298637862E-14+8.817157001099897E-16i     1.2499999298638032E-14+1.110014300846352E-15i     1.2499999298637966E-14+1.397425210790407E-15i     1.2499999298638184E-14+1.7592541089458744E-15i    1.2499999298638294E-14+2.21476970355525E-15i      1.2499999298638586E-14+2.788229861077535E-15i     1.2499999298638993E-14+3.5101734260338403E-15i    1.2499999298639645E-14+4.419046525838596E-15i     1.2499999298640676E-14+5.563249967278964E-15i     1.2499999298642298E-14+7.003716755970527E-15i     1.2499999298644878E-14+8.817157001099932E-15i     1.2499999298648906E-14+1.1100143008463522E-14i    1.2499999298655393E-14+1.3974252107904103E-14i    1.2499999298665732E-14+1.7592541089458613E-14i    1.2499999298682022E-14+2.214769703555246E-14i     1.2499999298707818E-14+2.7882298610775486E-14i    1.2499999298748742E-14+3.5101734260338387E-14i    1.2499999298813637E-14+4.419046525838583E-14i     1.2499999298916421E-14+5.5632499672789335E-14i
-110                      -40                      0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      -27.48431037109396       -8.881784197001252E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-104.99999999999999       0                        0                        6.24999964985993E-15+2.7816249838802433E-16i      6.249999649859942E-15+3.501858378288387E-16i      6.249999649859946E-15+4.408578500931565E-16i      6.249999649860034E-15+5.550071504712191E-16i      6.249999649860006E-15+6.987126054556859E-16i      6.249999649860102E-15+8.796270545490801E-16i      6.2499996498601605E-15+1.1073848518734815E-15i    6.249999649860298E-15+1.3941149306594485E-15i     6.24999964986051E-15+1.7550867131688423E-15i      6.249999649860838E-15+2.209523263110558E-15i      6.249999649861352E-15+2.7816249838802635E-15i     6.249999649862163E-15+3.501858378288395E-15i      6.249999649863451E-15+4.4085785009315814E-15i     6.249999649865467E-15+5.5500715047121806E-15i     6.2499996498687054E-15+6.987126054556867E-15i     6.2499996498738756E-15+8.796270545490734E-15i     6.249999649882026E-15+1.1073848518734808E-14i     6.249999649894917E-15+1.3941149306594498E-14i     6.2499996499153855E-15+1.7550867131688464E-14i    6.24999964994783E-15+2.2095232631105548E-14i      6.2499996499992335E-15+2.7816249838802504E-14i
-110                      9.120329224321797        -2.220446049250313E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-110                      -2.773553610449509       8.881784197001252E-16    0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-100.3208407332051        -14.215760518867844      -2.3314683517128287E-15  1.2098948403559969E-14+5.384758246950407E-16i     1.2098948403559983E-14+6.77900899345408E-16i      1.2098948403559999E-14+8.534266688640554E-16i     1.2098948403560142E-14+1.0744005205358055E-15i    1.209894840356009E-14+1.3525901177474068E-15i     1.2098948403560287E-14+1.702810070973883E-15i     1.2098948403560402E-14+2.1437108698080348E-15i    1.209894840356069E-14+2.6987720895407124E-15i     1.2098948403561081E-14+3.397552764163654E-15i     1.209894840356171E-14+4.2772655127171424E-15i     1.20989484035627E-14+5.384758246950437E-15i       1.2098948403564282E-14+6.779008993454105E-15i     1.2098948403566781E-14+8.534266688640589E-15i     1.2098948403570667E-14+1.074400520535805E-14i     1.209894840357696E-14+1.352590117747409E-14i      1.2098948403586965E-14+1.7028100709738708E-14i    1.2098948403602725E-14+2.143710869808033E-14i     1.2098948403627697E-14+2.698772089540723E-14i     1.2098948403667315E-14+3.3975527641636566E-14i    1.2098948403730121E-14+4.277265512717133E-14i     1.2098948403829603E-14+5.3847582469504085E-14i
-110                      -14.215760518867848      -2.3314683517128287E-15  0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
